ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (1 P1)
a=5.59234, b=5.59234, c=3.89428, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb4   0.53137  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb6   0.59387  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb8   0.65637  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb10  0.71887  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb12  0.78137  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb14  0.84387  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb16  0.90637  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb1   0.96887  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb3   0.03137  0.50000  0.00000  0.0000 -1.0000  0.0000 
Pb5   0.09387  0.50000  0.00000  0.0000 -1.0000  0.0000 

P1[0,0,0]GM1(a)[Pb1:a:dsp]A_3(a) normfactor =  0.06420
Pb7   0.15637  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb9   0.21887  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb11  0.28137  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb13  0.34387  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb15  0.40637  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb2   0.46887  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb4   0.53137  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb6   0.59387  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb8   0.65637  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb10  0.71887  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb12  0.78137  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb14  0.84387  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb16  0.90637  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb1   0.96887  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb3   0.03137  0.50000  0.00000  0.0000  0.0000  1.0000 
Pb5   0.09387  0.50000  0.00000  0.0000  0.0000  1.0000 

P1[0,0,0]GM1(a)[Pb2:a:dsp]A_1(a) normfactor =  0.00279
Pb21  0.12512  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb23  0.18762  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb25  0.25012  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb27  0.31262  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb29  0.37512  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb31  0.43762  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb18  0.50012  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb20  0.56262  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb22  0.62512  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb24  0.68762  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb26  0.75012  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb28  0.81262  0.00000  0.00000 -1.0000  0.0000  0.0000 
Pb30  0.87512  0.00000  0.00000 -1.0000  0.0000  0.0000 
