ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (221 Pm-3m)
a=3.92037, b=3.92037, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Ti1  1b     0.50000   0.50000   0.50000   1.00000
O1   3c     0.00000   0.50000   0.50000   1.00000

Subgroup details
1 P1, basis={(16,-16,0),(1,1,0),(0,0,1)}, origin=(-3.99219,1.99219,-0.01301), s=32, i=1536

Undistorted superstructure 
a=88.70785, b=5.54424, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
Pb1  -0.00049  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb17  0.03076  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb3   0.06201  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb19  0.09326  0.50000  0.01301  0.0625  1.0000  0.0000 
Pb5   0.12451  0.00000  0.01301  0.0625  1.0000  0.0000 
Pb21  0.15576  0.50000  0.01301  0.0625  1.0000  0.0000 

Pm-3m[0,0,0]GM4-(a,b,c)[Pb1:a:dsp]T1u(b) normfactor =  0.02255
Pb7   0.18701  0.00000  0.01301 -0.0625  1.0000  0.0000 
Pb23  0.21826  0.50000  0.01301 -0.0625  1.0000  0.0000 
Pb9   0.24951  0.00000  0.01301 -0.0625  1.0000  0.0000 
Pb25  0.28076  0.50000  0.01301 -0.0625  1.0000  0.0000 
Pb11  0.31201  0.00000  0.01301 -0.0625  1.0000  0.0000 
Pb27  0.34326  0.50000  0.01301 -0.0625  1.0000  0.0000 
Pb13  0.37451  0.00000  0.01301 -0.0625  1.0000  0.0000 
Pb29  0.40576  0.50000  0.01301 -0.0625  1.0000  0.0000 
Pb15  0.43701  0.00000  0.01301 -0.0625  1.0000  0.0000 
Pb31  0.46826  0.50000  0.01301 -0.0625  1.0000  0.0000 
Pb2   0.49951  0.00000  0.01301 -0.0625  1.0000  0.0000 
Pb18  0.53076  0.50000  0.01301 -0.0625  1.0000  0.0000 
