ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (221 Pm-3m)
a=3.92037, b=3.92037, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Ti1  1b     0.50000   0.50000   0.50000   1.00000
O1   3c     0.00000   0.50000   0.50000   1.00000

Subgroup details
1 P1, basis={(16,-16,0),(1,1,0),(0,0,1)}, origin=(-3.00192,2.00192,0), s=32, i=1536

Undistorted superstructure 
a=88.70785, b=5.54424, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
O28  1a     0.29706   0.88120   0.50000   1.00000   0.73374  
O60  1a     0.32824   0.38642   0.50000   1.00000   0.76291  
O30  1a     0.35946   0.88640   0.50000   1.00000   0.76280  
O62  1a     0.39067   0.38114   0.50000   1.00000   0.73341  
O32  1a     0.42188   0.87083   0.50000   1.00000   0.67580  
O64  1a     0.45309   0.35588   0.50000   1.00000   0.59228  
O2   1a     0.48430   0.83687   0.50000   1.00000   0.48612  
O34  1a     0.51553   0.31451   0.50000   1.00000   0.36127  
O4   1a     0.54676   0.78968   0.50000   1.00000   0.22290  
O36  1a     0.57800   0.26332   0.50000   1.00000   0.07765  
O6   1a     0.60925   0.73645   0.50000   1.00000   0.07888  
O38  1a     0.64051   0.21010   0.50000   1.00000   0.22412  
O8   1a     0.67178   0.68528   0.50000   1.00000   0.36245  
O40  1a     0.70306   0.16295   0.50000   1.00000   0.48709  
O10  1a     0.73434   0.64397   0.50000   1.00000   0.59312  
O42  1a     0.76563   0.12906   0.50000   1.00000   0.67641  
O12  1a     0.79693   0.61880   0.50000   1.00000   0.73374  
O44  1a     0.82822   0.11358   0.50000   1.00000   0.76291  
O14  1a     0.85952   0.61360   0.50000   1.00000   0.76280  
O46  1a     0.89082   0.11886   0.50000   1.00000   0.73341  
O16  1a     0.92211   0.62917   0.50000   1.00000   0.67580  
O48  1a     0.95340   0.14412   0.50000   1.00000   0.59228  
O18  1a     0.98468   0.66313   0.50000   1.00000   0.48609  
O50  1a     0.01596   0.18549   0.50000   1.00000   0.36127  
O20  1a     0.04722   0.71032   0.50000   1.00000   0.22282  
O52  1a     0.07848   0.23668   0.50000   1.00000   0.07740  
O22  1a     0.10973   0.76355   0.50000   1.00000   0.07864  
O54  1a     0.14097   0.28990   0.50000   1.00000   0.22404  

Displacive mode definitions

atom    x        y        z        dx      dy      dz   
Pm-3m[0,0,0]GM4-(a,b,c)[Pb1:a:dsp]T1u(a) normfactor =  0.02255
Pb7   0.15637  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb23  0.18762  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb9   0.21887  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb25  0.25012  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb11  0.28137  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb27  0.31262  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb13  0.34387  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb29  0.37512  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb15  0.40637  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb31  0.43762  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb2   0.46887  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb18  0.50012  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb4   0.53137  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb20  0.56262  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb6   0.59387  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb22  0.62512  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb8   0.65637  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb24  0.68762  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb10  0.71887  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb26  0.75012  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb12  0.78137  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb28  0.81262  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb14  0.84387  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb30  0.87512  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb16  0.90637  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb32  0.93762  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb1   0.96887  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb17  0.00012  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb3   0.03137  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb19  0.06262  0.00000  0.00000  0.0625  1.0000  0.0000 
Pb5   0.09387  0.50000  0.00000  0.0625  1.0000  0.0000 
Pb21  0.12512  0.00000  0.00000  0.0625  1.0000  0.0000 

Pm-3m[0,0,0]GM4-(a,b,c)[Pb1:a:dsp]T1u(b) normfactor =  0.02255
Pb7   0.15637  0.50000  0.00000 -0.0625  1.0000  0.0000 
Pb23  0.18762  0.00000  0.00000 -0.0625  1.0000  0.0000 
Pb9   0.21887  0.50000  0.00000 -0.0625  1.0000  0.0000 
Pb25  0.25012  0.00000  0.00000 -0.0625  1.0000  0.0000 
Pb11  0.28137  0.50000  0.00000 -0.0625  1.0000  0.0000 
Pb27  0.31262  0.00000  0.00000 -0.0625  1.0000  0.0000 
Pb13  0.34387  0.50000  0.00000 -0.0625  1.0000  0.0000 
Pb29  0.37512  0.00000  0.00000 -0.0625  1.0000  0.0000 
Pb15  0.40637  0.50000  0.00000 -0.0625  1.0000  0.0000 
Pb31  0.43762  0.00000  0.00000 -0.0625  1.0000  0.0000 
Pb2   0.46887  0.50000  0.00000 -0.0625  1.0000  0.0000 
Pb18  0.50012  0.00000  0.00000 -0.0625  1.0000  0.0000 
